INFO  2016-02-24 21:36:10,300 13341ms MailRuTests            st1_LogInToMailbox - Open LoginPage
2016-02-24 23:25:48,517 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:25:50,561 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
2016-02-24 23:26:34,285 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:26:34,588 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:26:39,737 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:28:12,285 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
2016-02-24 23:29:51,255 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:29:51,548 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:29:57,805 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:30:32,808 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
2016-02-24 23:31:41,779 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:31:42,070 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:31:47,578 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:31:49,068 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
